ea_facility_code,enumerator_id,instrument,target_count,ea_name,cluster
040341101,se-004,F4,3,Brgy. Mayondon - Household,040341
040341101,se-006,F4,3,Brgy. Mayondon - Household,040341
040341101,se-003,F4,3,Brgy. Mayondon - Household,040341
040341101,se-007,F4,3,Brgy. Mayondon - Household,040341
040341101,se-002,F4,3,Brgy. Mayondon - Household,040341
040341101,se-005,F4,3,Brgy. Mayondon - Household,040341
040341101,se-001,F4,2,Brgy. Mayondon - Household,040341
040340210,se-005,F1,1,LPH-Bay District Hospital,040340
040340210,se-003,F3,2,LPH-Bay District Hospital,040340
040340210,se-007,F3,1,LPH-Bay District Hospital,040340
040340210,se-004,F3,1,LPH-Bay District Hospital,040340
040340210,se-006,F3,1,LPH-Bay District Hospital,040340
040341130,se-002,F1,1,Los Banos RHU,040341
040341130,se-006,F3,2,Los Banos RHU,040341
040341130,se-003,F3,1,Los Banos RHU,040341
040341130,se-007,F3,1,Los Banos RHU,040341
040341130,se-001,F3,1,Los Banos RHU,040341
