no,annex,instrument,description,stat_type,universe,breakdown,weight,source_variables,mapping_status,notes
1.1,1,F1,"Percentage distribution of facility head respondents’ who have ever heard of the process to apply for PhilHealth YAKAP/Konsulta accreditation, by facility type (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,Q81_KNOW_HOW_START,partial,No 'heard of process' item; Q81=know-how-to-start (non-accred only). Fac type all 1.x: F_TYPE+F_OWNERSHIP join on 9-digit facility_id
1.2,1,F1,"Percentage distribution of facility head respondents’ reported support from LGU to implement UHC reforms, by facility type (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,Q148_LGU_SUPPORT,mapped,
1.3,1,F1,"Percentage distribution of facility head respondents reported type of support from LGU to implement UHC reforms, by facility type (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,Q149_LGU_SUPPORT_FORMS (checkbox multi),mapped,Checkbox: one alpha multi-code field; split to dummies in Stata
1.4,1,F1,"Percentage distribution of facility head respondents perceived satisfaction with the support received from LGU to implement UHC reforms, by facility type (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,Q150_LGU_SATISFIED,mapped,
1.5,1,F1,Percentage distribution of facility head respondents reported reasons for dissatisfaction of support from LGU to implement UHC reforms,percent distribution,facility heads dissatisfied with LGU support,none stated,facility wf,Q151_LGU_NOT_SAT_WHY (checkbox multi),mapped,Checkbox multi; universe skip-gated to Q150_LGU_SATISFIED=No
1.6,1,F1,"Percentage distribution of facility head respondents who have ever heard of the process to apply for DOH licensing, by facility type (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,,gap,No DOH-licensing process-awareness item in F1; nearest are Q118 (licensed status) and Q121 (difficult requirements)
1.7,1,F1,"Percentage distribution of facility head respondents reported that the facility is currently PhilHealth YAKAP/Konsulta accredited, by facility type (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,Q51_YK_ACCRED,mapped,
1.8,1,F1,"Percentage distribution of facility head respondents identified top barriers in facilities' accreditation to PhilHealth YAKAP/Konsulta, for the most recent application, by type of facility (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,Q65_ACCRED_DIFFICULT (checkbox multi),mapped,"Checkbox: one alpha multi-code field, split; accredited/applied path — non-accred reasons live in Q79"
1.8a,1,F1,"Percentage distribution of facility head respondents of rural health unit reported reasons to barriers in facilities' accreditation to PhilHealth YAKAP/Konsulta, for the most recent application (n=911)",percent distribution,facility heads of rural health units (n=911),none stated,facility wf,"Q66_WHY_DIFF_PREVENTIVE (checkbox multi),Q67_WHY_DIFF_LAB (checkbox multi),Q68_WHY_DIFF_MEDS (checkbox multi),Q69_WHY_DIFF_INFRA (checkbox multi),Q70_WHY_DIFF_EQUIPMENT (checkbox multi),Q71_WHY_DIFF_HR (checkbox multi),Q72_WHY_DIFF_HIS (checkbox multi),Q73_WHY_DIFF_DOCS (checkbox multi),Q74_WHY_DIFF_DOH_LIC (checkbox multi)",mapped,"9-item why-difficult battery, each one alpha multi-code field (split); filter facility_type=RHU"
1.8b,1,F1,"Percentage distribution of facility head respondents of government hospitals reported reasons to barriers in facilities' accreditation to PhilHealth YAKAP/Konsulta, for the most recent application (n=244)",percent distribution,facility heads of government hospitals (n=244),none stated,facility wf,"Q66_WHY_DIFF_PREVENTIVE (checkbox multi),Q67_WHY_DIFF_LAB (checkbox multi),Q68_WHY_DIFF_MEDS (checkbox multi),Q69_WHY_DIFF_INFRA (checkbox multi),Q70_WHY_DIFF_EQUIPMENT (checkbox multi),Q71_WHY_DIFF_HR (checkbox multi),Q72_WHY_DIFF_HIS (checkbox multi),Q73_WHY_DIFF_DOCS (checkbox multi),Q74_WHY_DIFF_DOH_LIC (checkbox multi)",mapped,Same Q66-Q74 battery; filter facility_type=hospital & F_OWNERSHIP=public (gov)
1.8c,1,F1,"Percentage distribution of facility head respondents of private hospitals reported reasons to barriers in facilities' accreditation to PhilHealth YAKAP/Konsulta, for the most recent application (n=366)",percent distribution,facility heads of private hospitals (n=366),none stated,facility wf,"Q66_WHY_DIFF_PREVENTIVE (checkbox multi),Q67_WHY_DIFF_LAB (checkbox multi),Q68_WHY_DIFF_MEDS (checkbox multi),Q69_WHY_DIFF_INFRA (checkbox multi),Q70_WHY_DIFF_EQUIPMENT (checkbox multi),Q71_WHY_DIFF_HR (checkbox multi),Q72_WHY_DIFF_HIS (checkbox multi),Q73_WHY_DIFF_DOCS (checkbox multi),Q74_WHY_DIFF_DOH_LIC (checkbox multi)",mapped,Same Q66-Q74 battery; filter facility_type=hospital & F_OWNERSHIP=private
1.9,1,F1,"Percentage distribution of the average number of days to PhilHealth YAKAP/Konsulta accreditation for the facility's most recent application, by facility type (n=1,521)",percent distribution,"all facility heads (n=1,521)",by facility type,facility wf,Q63_ACCRED_WAIT,mapped,"Q63 captures wait in MONTHS, not days (table title says days) — report months or convert"
